seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,4.50,115.16,24.73,2.60,0.09,4.24
773956,1,5.75,183.24,31.23,2.08,0.06,10.01
654571,1,2.95,90.06,29.13,2.64,0.13,8.84
438878,1,3.85,98.94,24.62,2.87,0.23,6.91
433015,1,5.20,148.53,27.84,2.37,0.04,6.44
858597,1,4.95,154.81,30.58,1.87,0.03,9.13
85945,1,4.00,88.80,21.33,2.35,0.15,4.59
697368,1,4.80,154.51,31.37,2.36,0.04,9.82
201469,1,4.55,126.11,27.03,1.75,0.15,7.94
94177,1,5.25,162.39,30.27,1.90,0.13,10.13
526478,1,4.65,109.48,22.72,2.44,0.07,5.77
975622,1,5.95,160.65,26.42,2.10,0.09,5.71
735752,1,4.05,121.84,29.24,1.92,0.21,10.61
761139,1,4.00,107.36,25.94,2.25,0.27,9.77
717477,1,7.15,139.14,18.99,2.45,0.25,8.52
786064,1,2.75,83.23,28.65,2.98,0.05,7.30
513226,1,3.20,97.83,29.20,2.90,0.10,8.16
128113,1,5.90,164.95,27.26,2.73,0.11,6.51
839748,1,5.60,147.55,25.72,2.19,0.17,9.04
450385,1,6.50,178.39,26.83,2.62,0.13,6.70
500351,1,4.30,83.82,18.61,2.77,0.25,7.22
370798,1,3.80,126.38,32.06,2.90,0.08,10.90
182549,1,7.05,196.73,27.28,3.00,0.02,5.66
926764,1,5.65,82.14,13.83,2.87,0.10,10.26
781567,1,4.15,99.78,23.09,2.71,0.31,8.80
643865,1,2.25,51.75,21.56,2.10,0.18,6.14
402414,1,3.40,104.72,29.87,1.64,0.04,8.57
822761,1,3.50,74.89,20.40,2.37,0.28,8.39
545429,1,6.90,169.84,24.07,2.53,0.22,6.89
443414,1,2.05,50.37,22.82,2.41,0.16,5.25
450459,1,6.75,149.34,21.53,2.86,0.28,7.56
227238,1,3.00,81.86,26.27,1.73,0.03,4.95
92135,1,3.05,78.52,24.35,2.99,0.18,5.66
554584,1,3.00,75.44,24.05,2.04,0.13,5.10
887889,1,5.65,91.18,15.47,2.73,0.30,10.92
63817,1,5.00,134.75,26.24,2.18,0.20,8.19
858291,1,2.95,93.32,30.13,2.90,0.03,8.65
827631,1,2.35,69.73,28.07,2.34,0.11,7.42
276759,1,4.70,74.58,15.07,2.92,0.16,7.32
631664,1,7.40,148.85,19.64,2.48,0.19,5.99
165229,1,3.70,61.42,15.54,2.99,0.35,9.94
758087,1,7.05,188.05,26.17,2.23,0.03,4.57
700522,1,5.35,144.07,26.30,1.99,0.28,10.54
354525,1,6.10,174.67,28.04,2.19,0.10,7.40
67920,1,4.65,116.47,24.34,2.02,0.09,4.39
970698,1,4.65,142.58,29.85,2.26,0.04,8.44
445687,1,2.40,73.39,29.12,2.02,0.18,10.37
893121,1,4.55,115.05,24.41,2.71,0.30,8.67
677919,1,4.40,125.33,27.54,2.78,0.04,6.05
778383,1,6.50,135.53,20.33,2.28,0.22,6.81
759899,1,6.80,171.49,24.61,2.90,0.15,5.24
194638,1,3.65,104.60,27.55,2.64,0.15,7.73
363906,1,6.95,159.15,22.36,2.55,0.24,6.93
466721,1,2.80,55.72,18.68,2.39,0.28,8.61
497791,1,3.95,108.96,26.55,2.73,0.10,5.81
43803,1,4.35,96.71,21.31,2.83,0.37,9.69
546569,1,5.00,104.49,20.08,3.00,0.35,8.77
154289,1,5.05,117.95,22.57,2.93,0.38,10.22
743375,1,3.00,90.99,29.27,1.70,0.03,7.84
683048,1,2.95,57.20,18.16,2.61,0.29,8.51
922527,1,3.35,95.16,27.26,2.45,0.02,5.72
744762,1,5.05,130.07,25.09,2.06,0.18,7.23
366642,1,2.60,79.91,29.13,2.67,0.24,10.34
967509,1,6.25,163.65,25.57,2.56,0.03,4.03
410850,1,4.75,93.41,18.86,2.78,0.38,9.95
325825,1,5.25,122.26,22.64,2.20,0.26,8.32
905535,1,5.65,105.52,18.01,2.76,0.27,7.86
370459,1,4.55,107.82,22.95,2.20,0.19,6.09
76343,1,3.40,86.81,24.43,2.45,0.37,10.98
469555,1,3.50,83.50,22.93,2.05,0.15,5.50
795679,1,1.75,55.70,29.99,1.69,0.06,8.83
189471,1,5.75,140.54,23.83,2.29,0.20,6.89
462940,1,3.25,88.43,26.18,2.02,0.03,4.70
129921,1,4.25,137.69,31.51,2.16,0.03,10.03
686478,1,2.90,83.24,27.47,2.16,0.11,7.27
475704,1,3.90,84.48,20.70,2.60,0.30,8.50
330196,1,4.75,107.91,22.06,1.97,0.12,4.22
226909,1,6.25,164.79,25.77,2.40,0.09,5.04
564499,1,3.50,95.56,26.25,2.36,0.03,4.83
669813,1,3.60,113.24,30.32,2.54,0.03,8.80
940306,1,2.25,61.68,25.62,2.74,0.07,4.50
437151,1,2.55,79.75,29.72,2.47,0.01,8.22
160688,1,4.60,129.59,27.32,2.53,0.01,5.77
832678,1,5.95,152.70,25.05,2.35,0.11,4.82
629764,1,2.60,77.34,28.33,2.23,0.10,7.85
700265,1,2.50,71.62,27.13,2.41,0.13,7.23
97226,1,5.75,118.21,19.91,2.84,0.10,8.44
312366,1,4.50,124.32,26.80,2.36,0.08,5.93
767843,1,6.35,171.06,26.26,2.96,0.20,7.08
832259,1,1.80,50.25,25.74,2.60,0.04,4.47
435216,1,2.70,69.40,24.35,2.39,0.24,7.96
804764,1,4.05,127.63,30.48,2.63,0.11,9.77
841691,1,4.25,111.43,25.32,2.52,0.13,5.53
387478,1,2.60,72.08,26.22,2.53,0.28,9.73
898087,1,4.80,136.24,27.64,2.14,0.09,7.07
288328,1,4.45,117.20,25.51,2.39,0.04,4.11
239557,1,5.40,139.20,25.13,2.21,0.07,4.34
682495,1,6.20,193.31,30.55,2.35,0.14,9.85
636761,1,5.35,130.75,23.67,2.88,0.23,6.46
139752,1,5.75,96.55,16.23,2.39,0.03,5.44
